energy,liveness,tempo,speechiness,acousticness,instrumentalness,loudness,danceability,key,mode,valence,treinamento
0.505,0.104,91.97,0.253,0.535,2.55e-06,-7.621,0.752,9.0,1.0,0.419,1
0.704,0.0424,191.702,0.186,0.00583,0.000115,-7.276,0.284,2.0,1.0,0.1,2
0.57,0.112,129.953,0.133,0.847,2.14e-05,-7.066,0.734,7.0,0.0,0.689,2
0.619,0.122,125.046,0.0386,0.0716,0.0,-7.005,0.684,10.0,1.0,0.284,1
0.658,0.0919,105.076,0.0456,0.245,3.77e-06,-6.318,0.638,3.0,1.0,0.33,0
0.76,0.0865,135.702,0.342,0.0733,0.0,-4.706,0.552,0.0,1.0,0.639,0
0.437,0.106,180.043,0.039,0.101,1.27e-06,-6.593,0.258,11.0,0.0,0.0967,1
0.586,0.0813,126.684,0.0362,0.697,0.0,-6.319,0.553,11.0,1.0,0.443,1
0.593,0.17,98.078,0.0988,0.688,0.000161,-6.401,0.825,6,0,0.54,0
0.32,0.0822,91.019,0.0546,0.837,0.0,-7.209,0.764,11,1,0.575,0
0.34,0.21,101.993,0.0438,0.576,0.0,-9.005,0.505,4,1,0.0916,1
0.762,0.0863,120.042,0.0395,0.192,0.00244,-3.497,0.695,0,1,0.553,0
0.601,0.46,116.735,0.148,0.0522,0.0,-5.616,0.621,6,0,0.457,0
0.793,0.0952,123.941,0.0842,0.0125,0.0,-4.521,0.794,11,0,0.677,1
0.405,0.105,109.891,0.0319,0.751,0.0,-5.679,0.501,1,1,0.446,0
0.427,0.21,76.469,0.0317,0.0546,5.83e-06,-8.764,0.598,7,0,0.0605,0
0.548,0.0828,116.967,0.029,0.0392,0.0,-6.049,0.759,9,0,0.749,2
0.716,0.237,104.994,0.0657,0.0334,0.00084,-7.037,0.721,10,0,0.667,1
0.559,0.399,129.989,0.0776,0.128,0.0,-7.109,0.778,6,0,0.678,2
0.748,0.093,117.958,0.0821,0.272,1.62e-05,-4.299,0.893,7,0,0.867,2
0.63,0.111,89.991,0.0259,0.153,0.0,-4.644,0.654,10,1,0.43,1
0.648,0.0802,92.977,0.187,0.124,0.0,-8.113,0.64,5,0,0.548,1
0.425,0.1,135.128,0.375,0.328,0.13,-10.965,0.701,7,1,0.562,2
0.682,0.0763,110.567,0.0925,0.153,0.0,-4.931,0.477,1,0,0.345,2
0.808,0.0822,105.027,0.0882,0.0846,0.000289,-3.702,0.786,7,1,0.609,1
0.631,0.132,180.051,0.343,0.0687,0.0,-5.884,0.474,5,0,0.425,0
0.459,0.137,126.803,0.0334,0.56,0.0,-5.782,0.619,7,0,0.498,1
0.9,0.0426,180.291,0.418,0.000248,1.21e-05,-3.503,0.529,1,1,0.434,2
0.62,0.15,101.939,0.0327,0.0426,0.00224,-8090,0.585,3,0,0.281,2
0.621,0.0865,97.986,0.0824,0.148,0.0,-6.376,0.857,9,0,0.668,0
0.675,0.0894,101.956,0.0442,0.0912,0.0,-5.041,0.798,6,1,0.842,1
0.564,0.304,154.355,0.271,0.114,0.0254,-7.906,0.563,10,0,0.55,2
0.653,0.111,150.231,0.0745,0.447,0.0,-3.818,0.58,5,1,0.175,0
0.498,0.319,98.016,0.0456,0.0169,0.00282,-6.684,0.74,11,0,0.652,1
0.391,0.137,129.972,0.0845,0.181,0.0,-7.899,0.843,2,1,0.496,0
0.522,0.0685,89.96,0.0575,0.533,0.0,-4.368,0.755,2,1,0.925,0
0.463,0.194,95.971,0.0287,0.374,0.0,-6.972,0.732,11,0,0.397,3
0.836,0.179,80.002,0.0735,0.017,1.64e-05,-4.803,0.734,10,0,0.623,1
0.526,0.14,123.935,0.0415,0.129,0.0,-8.659,0.598,10,0,0.529,1
0.646,0.108,176.089,0.317,0.152,1.85e-05,-5.795,0.754,7,1,0.429,0
0.892,0.735,95.927,0.0645,0.298,0.0,-3.001,0.668,5,0,0.478,1
0.703,0.0569,94.004,0.0701,0.143,0.0,-4.219,0.879,1,1,0.788,1
0.639,0.12,139.999,0.0718,0.547,0.0,-6.423,0.754,10,0,0.742,0
0.642,0.0658,179.974,0.287,0.0204,0.0,-6.257,0.745,7,0,0.226,0
0.713,0.0765,111.984,0.176,0.158,0.0,-5.636,0.848,7,0,0.509,0
0.624,0.243,176.169,0.309,0.6,2.12e-06,-4.773,0.61,2,1,0.244,1
0.786,0.0935,91.973,0.0741,0.145,0.0,-3.831,0.806,10,0,0.58,1
0.901,0.12,93.979,0.0357,0.0478,0.0,-2.814,0.658,7,1,0.708,1
0.583,0.181,92.043,0.0747,0.231,4.48e-05,-5.127,0.667,11,0,0.187,2
0.8,0.147,139.919,0.0502,0.0906,0.0,-2.665,0.499,1,0,0.272,0
0.399,0.0689,129.047,0.0745,0.117,0.0,-10.938,0.866,7,1,0.713,1
0.502,0.0912,94.999,0.353,0.0389,0.0,-9.311,0.931,0,0,0.712,2
0.758,0.102,192.091,0.218,0.278,1.34e-06,-2.986,0.694,11,1,0.371,1
0.665,0.103,104.957,0.0758,0.0549,0.0,-6.224,0.817,9,0,0.662,1
0.505,0.0977,85.332,0.042,0.12,0.0,-8.106,0.294,3,1,0.357,1
0.644,0.143,174.1,0.132,0.0934,4.54e-06,-4.124,0.732,0,1,0.554,1
0.619,0.113,136.041,0.102,0.0533,0.0,-5560,0.878,6,1,0.639,2
0.385,0.231,95.799,0.0308,0.371,0.0,-6.362,0.572,7,1,0.323,
